placeId	name	latitude	longitude	kinds	rank	regionId	sourceDatasetId	cityStanding
place.london	London	51.501941	-0.118668	CITY,PORT	GLOBAL	gbr-england-wales	curated-natural-earth-populated-places-5.1.2	IMPERIAL_CAPITAL
place.portsmouth	Portsmouth	50.800348	-1.080022	PORT	MAJOR	gbr-england-wales	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.liverpool	Liverpool	53.405068	-2.961934	CITY,PORT	MAJOR	gbr-england-wales	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.glasgow	Glasgow	55.86227	-4.239101	CITY,PORT	MAJOR	gbr-scotland	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.paris	Paris	48.858092	2.352992	CITY	GLOBAL	fra-north	curated-natural-earth-populated-places-5.1.2	IMPERIAL_CAPITAL
place.brest	Brest	48.390443	-4.495008	PORT	MAJOR	fra-west	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.marseilles	Marseilles	43.291925	5.373064	CITY,PORT	MAJOR	fra-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.bordeaux	Bordeaux	44.851959	-0.596959	CITY,PORT	SECONDARY	fra-west	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.berlin	Berlin	52.523764	13.399603	CITY	GLOBAL	deu-northeast	curated-natural-earth-populated-places-5.1.2	IMPERIAL_CAPITAL
place.hamburg	Hamburg	53.551971	9.998053	CITY,PORT	MAJOR	deu-northeast	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.kiel	Kiel	54.33039	10.130017	PORT	MAJOR	deu-northeast	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.vienna	Vienna	48.201961	16.364693	CITY	GLOBAL	AUT	curated-natural-earth-populated-places-5.1.2	IMPERIAL_CAPITAL
place.budapest	Budapest	47.501952	19.081375	CITY	MAJOR	HUN	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.trieste	Trieste	45.650378	13.800026	CITY,PORT	MAJOR	ita-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.prague	Prague	50.086967	14.422939	CITY	MAJOR	CZE	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.st-petersburg	St Petersburg	59.94096	30.314074	CITY,PORT	GLOBAL	rus-northwest	curated-natural-earth-populated-places-5.1.2	IMPERIAL_CAPITAL
place.moscow	Moscow	55.75411	37.613577	CITY	MAJOR	rus-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.sevastopol	Sevastopol	44.603925	33.524395	PORT	MAJOR	rus-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.odessa	Odessa	46.491962	30.708055	CITY,PORT	MAJOR	ukr-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.vladivostok	Vladivostok	43.130015	131.910026	PORT	MAJOR	rus-far-east	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.archangel	Archangel	64.574959	40.545008	PORT	SECONDARY	rus-northwest	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.rome	Rome	41.897902	12.481313	CITY	GLOBAL	ita-central	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.naples	Naples	40.841971	14.243066	CITY,PORT	MAJOR	ita-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.genoa	Genoa	44.409988	8.930039	CITY,PORT	MAJOR	ita-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.venice	Venice	45.438659	12.334999	CITY,PORT	SECONDARY	ita-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.taranto	Taranto	40.508392	17.229997	PORT	SECONDARY	ita-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.madrid	Madrid	40.401972	-3.685297	CITY	GLOBAL	esp-north	curated-natural-earth-populated-places-5.1.2	IMPERIAL_CAPITAL
