actorId	regionIds
dutch-empire	ABW,CUW,SUR,SXM,bes-bonaire,bes-saba-eustatius,idn-borneo,idn-east,idn-java,idn-sulawesi,idn-sumatra,nld-mainland
british-empire	AIA,ARE,ATC,ATG,BGD,BHR,BHS,BLZ,BMU,BRB,BRN,BWA,COK,CYM,CYP,DMA,FJI,FLK,GGY,GHA,GIB,GMB,GRD,GUY,HKG,HMD,IMN,IRL,JAM,JEY,KEN,KIR,KNA,KWT,LCA,LKA,LSO,MDV,MLT,MMR,MSR,MUS,MWI,NFK,NIU,PCN,QAT,SGP,SGS,SHN,SLB,SLE,SWZ,SYC,TCA,TON,TTO,TUV,UGA,VCT,VGB,VUT,ZMB,ZWE,aus-queensland,aus-southeast,aus-west-central,can-atlantic,can-central,can-pacific,can-prairies-north,gbr-england-wales,gbr-northern-ireland,gbr-scotland,ind-deccan,ind-east,ind-gangetic,ind-northwest,ind-south,ind-west-central,mys-borneo,mys-peninsula,nga-north,nga-south,nzl-north,nzl-south,pak-east,pak-west,tokelau,zaf-cape,zaf-natal
ottoman-empire	ALB,IRQ,ISR,JOR,KOS,LBN,LBY,MKD,PSX,SYR,YEM,sau-hejaz,sau-interior-east,tur-central,tur-east,tur-marmara-west,tur-mediterranean
russian-empire	ALD,ARM,AZE,BLR,EST,FIN,GEO,KGZ,LTU,LVA,MDA,TJK,TKM,UZB,kaz-east-south,kaz-west-central,pol-east,rus-central,rus-east-siberia,rus-far-east,rus-northwest,rus-south,rus-volga-urals,rus-west-siberia,ukr-central,ukr-south-east,ukr-west
andorra	AND
united-states	ASM,usa-interior-west,usa-midwest,usa-northeast,usa-pacific,usa-south
french-empire	ATF,BEN,BFA,BLM,CAF,CIV,CLP,COG,COM,DJI,GAB,GIN,KHM,LAO,MAF,MDG,MLI,MRT,NCL,NER,PYF,SEN,SPM,TCD,TUN,WLF,dza-north,dza-sahara,fra-east,fra-north,fra-south,fra-west,glp,guf,mtq,myt,reu,vnm-north,vnm-south
austria-hungary	AUT,BIH,CZE,HUN,SVK,SVN,hrv-dalmatia,hrv-inland,pol-south
german-empire	BDI,CMR,FSM,MHL,MNP,NAM,NRU,PLW,PNG,RWA,TGO,TZA,WSM,deu-central,deu-northeast,deu-south,deu-west,fra-alsace-lorraine,pol-west,rus-kaliningrad
belgian-empire	BEL,cod-east,cod-katanga,cod-west-basin
bulgaria	BGR
colombia	BJN,PAN,SER,col-east-south,col-west
bolivia	BOL
brazil	BRI,bra-amazon,bra-central-southeast,bra-northeast,bra-south
egypt	SDS,egy-delta,egy-sinai,egy-upper-west,sdn-darfur,sdn-nile-east
bhutan	BTN
switzerland	CHE
portuguese-empire	CPV,GNB,MAC,STP,TLS,ago-north,ago-south,moz-north,moz-south,prt-azores,prt-madeira,prt-mainland
costa-rica	CRI
spanish-empire	CUB,GNQ,GUM,PRI,esp-canaries,esp-centre-west,esp-north,esp-south-east,phl-luzon,phl-mindanao,phl-visayas
denmark	DNK,FRO,GRL,ISL,VIR
dominican-republic	DOM
ecuador	ECU
italian-empire	ERI,SOL,SOM,VAT,ita-central,ita-north,ita-south
greece	GRC
guatemala	GTM
honduras	HND
haiti	HTI
korea	KOR,PRK
liberia	LBR
liechtenstein	LIE
luxembourg	LUX
morocco	MAR,SAH
monaco	MCO
montenegro	MNE
nicaragua	NIC
nepal	NPL
oman	OMN
qing-empire	PGA,SCR,chn-east-central,chn-manchuria,chn-north,chn-northwest,chn-south-coast,chn-southwest,chn-tibet,mng-east,mng-west
paraguay	PRY
el-salvador	SLV
san-marino	SMR
chile	chl-central-south,chl-north
serbia	SRB
japanese-empire	TWN,jpn-central,jpn-north,jpn-west-south
uruguay	URY
venezuela	VEN
afghanistan	afg-east,afg-west
argentina	arg-north,arg-pampas,arg-patagonia
ethiopia	eth-north-central,eth-south-east
hawaii	hawaii
persia	irn-east,irn-north,irn-southwest
mexico	mex-central-south,mex-gulf-yucatan,mex-north
sweden-norway	nor-north,nor-south,svalbard,swe-north,swe-south
peru	per-north-central,per-south
romania	rou-east-south,rou-transylvania
siam	tha-north,tha-south
orange-free-state	zaf-orange
transvaal	zaf-transvaal
