labelKey	rotationDegrees
water.barents	-8
water.white	35
water.persian-gulf	24
water.andaman	-12
water.east-china	12
water.yellow	-8
water.okhotsk	-12
water.philippine	-6
water.java	2
water.banda	12
water.celebes	-14
water.sulu	-18
water.labrador	-24
water.gulf-st-lawrence	-18
water.english-channel	8
water.irish	72
water.biscay	-12
water.adriatic	55
water.aegean	12
water.tyrrhenian	-28
water.ionian	18
water.marmara	6
water.mozambique-channel	62
water.drake	-4
water.rio-de-la-plata	-8
islands.british-isles	65
islands.canaries	72
islands.cape-verde	-18
islands.aleutians	-8
islands.hawaii	-10
islands.japan	55
islands.philippines	68
islands.east-indies	4
islands.new-guinea	2
islands.bismarck	15
islands.solomons	48
islands.new-zealand	58
islands.madagascar	72
islands.marianas	76
islands.carolines	4
islands.marshalls	8
islands.fiji	-8
islands.samoa	-18
islands.tonga	78
islands.lesser-antilles	72
islands.maldives	72
islands.andamans	68
region.patagonia	68
political.italian-empire	58
