actorId	latitude	longitude	minimumBand	rotationDegrees
british-empire	54.0	-3.0	GRAND	0.0
russian-empire	58.0	60.0	GRAND	0.0
qing-empire	36.0	105.0	GRAND	0.0
united-states	39.0	-100.0	GRAND	0.0
spanish-empire	40.0	-4.0	THEATRE	0.0
japanese-empire	37.0	140.0	THEATRE	0.0
french-empire	46.0	2.0	NATIONAL	0.0
german-empire	51.0	10.0	NATIONAL	0.0
austria-hungary	47.0	17.0	NATIONAL	0.0
italian-empire	42.0	12.0	REGIONAL	0.0
ottoman-empire	39.0	31.0	NATIONAL	0.0
portuguese-empire	39.6	-8.0	NATIONAL	72.0
dutch-empire	52.4	5.5	NATIONAL	0.0
belgian-empire	50.8	4.7	NATIONAL	0.0
denmark	56.0	9.2	NATIONAL	58.0
sweden-norway	62.0	15.0	NATIONAL	62.0
greece	39.1	22.0	NATIONAL	18.0
romania	46.0	25.0	NATIONAL	12.0
serbia	44.0	20.8	REGIONAL	0.0
bulgaria	43.0	25.2	REGIONAL	0.0
montenegro	42.8	19.2	LOCAL	55.0
switzerland	46.8	8.2	NATIONAL	0.0
luxembourg	49.8	6.1	LOCAL	0.0
liechtenstein	47.15	9.55	DETAIL	0.0
monaco	43.74	7.42	DETAIL	0.0
san-marino	43.94	12.46	LOCAL	0.0
andorra	42.55	1.58	LOCAL	0.0
mexico	23.0	-102.0	NATIONAL	0.0
guatemala	15.6	-90.3	REGIONAL	0.0
honduras	14.8	-86.6	REGIONAL	0.0
el-salvador	13.8	-88.9	LOCAL	0.0
nicaragua	12.9	-85.0	REGIONAL	0.0
costa-rica	9.9	-84.2	REGIONAL	0.0
colombia	4.0	-73.0	NATIONAL	0.0
venezuela	7.0	-66.0	NATIONAL	0.0
ecuador	-1.4	-78.4	REGIONAL	0.0
peru	-9.0	-75.0	NATIONAL	62.0
bolivia	-17.0	-65.0	NATIONAL	0.0
chile	-33.0	-71.0	NATIONAL	72.0
argentina	-35.0	-65.0	NATIONAL	0.0
brazil	-10.0	-52.0	NATIONAL	0.0
paraguay	-23.5	-58.0	REGIONAL	0.0
uruguay	-32.8	-56.0	REGIONAL	0.0
haiti	19.0	-72.7	REGIONAL	0.0
dominican-republic	18.8	-70.5	REGIONAL	0.0
ethiopia	8.5	39.5	NATIONAL	0.0
liberia	6.5	-9.3	REGIONAL	0.0
morocco	31.5	-7.0	NATIONAL	0.0
egypt	27.0	29.0	NATIONAL	0.0
orange-free-state	-29.0	26.5	REGIONAL	0.0
transvaal	-25.0	29.0	REGIONAL	0.0
persia	32.0	54.0	NATIONAL	0.0
afghanistan	33.0	66.0	NATIONAL	0.0
korea	38.2	127.5	NATIONAL	72.0
siam	15.0	101.0	NATIONAL	72.0
oman	21.0	57.0	REGIONAL	55.0
nepal	28.2	84.0	REGIONAL	0.0
bhutan	27.5	90.5	LOCAL	0.0
hawaii	20.5	-157.0	REGIONAL	-10.0
