labelKey	variant	fontFace	lineIndex	glyphIndex	glyph	baselineMapX	baselineMapY	rotationDegrees	fontScaleMapUnits
water.south-atlantic	DEFAULT	SERIF	0	0	S	-28.517441860465112	-19.83613445378151	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	0	1	O	-23.427725520974384	-19.845133309797674	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	0	2	U	-17.942769002178242	-19.854830968896003	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	0	3	T	-12.490970216545307	-19.864470003574684	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	0	4	H	-7.129360465116296	-19.873949579831933	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	1	0	A	-37.73982558139534	-34.982142857142854	0.0566991	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	1	T	-31.48456645346512	-34.97595273821987	0.0566991	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	2	L	-25.25569102622238	-34.981818429312575	-0.3592344	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	3	A	-19.129913377522684	-35.0202264745832	-0.3592344	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	4	N	-12.874990791512117	-35.08170763737107	-0.75594443	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	5	T	-6.500501850819516	-35.16581573224855	-0.75594443	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	6	I	-0.2727776386367502	-35.28588970397861	-1.1909897	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	7	C	5.559593023255836	-35.40714285714286	-1.1909897	0.001365442
water.south-atlantic	DEFAULT	SERIF	2	0	O	-34.665697674418595	-48.095092024539866	0.14150785	0.0011575414
water.south-atlantic	DEFAULT	SERIF	2	1	C	-27.129711761280006	-48.07682534377305	-0.09433867	0.0011575414
water.south-atlantic	DEFAULT	SERIF	2	2	E	-19.649444952027476	-48.0896963345642	-0.37757048	0.0011575414
water.south-atlantic	DEFAULT	SERIF	2	3	A	-12.322843866436163	-48.13797822272566	-0.37757048	0.0011575414
water.south-atlantic	DEFAULT	SERIF	2	4	N	-4.86191860465118	-48.21779141104293	-0.6131785	0.0011575414
water.pacific-west	DEFAULT	SERIF	0	0	N	158.63372093023256	40.06748466257668	-0.84376484	0.001489573
