labelKey	variant	fontFace	lineIndex	glyphIndex	glyph	baselineMapX	baselineMapY	rotationDegrees	fontScaleMapUnits
water.south-atlantic	DEFAULT	SERIF	0	0	S	-24.117448737624784	-19.843913846935372	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	0	1	O	-21.22772895955422	-19.849023006374605	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	0	2	U	-17.942769002178242	-19.854830968896003	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	0	3	T	-14.690966777965471	-19.860580306997754	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	0	4	H	-11.529353587956622	-19.866170186678072	-0.101301506	0.0015855399
water.south-atlantic	DEFAULT	SERIF	1	0	A	-30.039829351624714	-34.97452304623804	0.0566991	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	1	T	-25.984569146486102	-34.970510016145	0.0566991	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	2	L	-21.95575588863136	-35.002508709449266	-0.3592344	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	3	A	-18.029934998325675	-35.02712323462876	-0.3592344	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	4	N	-13.9748950520753	-35.067194967218526	-0.75594443	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	5	T	-9.800214632509068	-35.122277721790915	-0.75594443	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	6	I	-5.771589443347288	-35.17157112991454	-1.1909897	0.001365442
water.south-atlantic	DEFAULT	SERIF	1	7	C	-2.138743503338919	-35.24709685345315	-1.1909897	0.001365442
water.south-atlantic	DEFAULT	SERIF	2	0	O	-30.265711093977927	-48.084225012897335	0.14150785	0.0011575414
water.south-atlantic	DEFAULT	SERIF	2	1	C	-24.92971474341174	-48.08044768703825	-0.09433867	0.0011575414
water.south-atlantic	DEFAULT	SERIF	2	2	E	-19.649444952027476	-48.0896963345642	-0.37757048	0.0011575414
water.south-atlantic	DEFAULT	SERIF	2	3	A	-14.522796097902177	-48.12348066197524	-0.37757048	0.0011575414
water.south-atlantic	DEFAULT	SERIF	2	4	N	-9.261666635660445	-48.17070358214728	-0.6131785	0.0011575414
water.pacific-west	DEFAULT	SERIF	0	0	N	156.13372093023256	38.06748466257668	-0.84376484	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	1	O	161.21038810139433	37.99271784487675	-0.84376484	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	2	R	166.2531184714729	37.91845083276469	-0.84376484	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	3	T	171.23736447710286	37.84716750835653	-0.63375527	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	4	H	176.1714962334616	37.79258827695794	-0.63375527	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	5	\s	181.26946856605954	37.736196711968645	-0.63375527	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	6	P	185.65358156853998	37.689648255444396	-0.39446485	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	7	A	190.44979886262007	37.6566271656983	-0.39446485	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	8	C	195.40986287307635	37.62247802090501	-0.39446485	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	9	I	200.39100731502808	37.59135497802224	-0.12679407	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	10	F	204.9392105208167	37.581289905953845	-0.12679407	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	11	I	209.68871539886257	37.57077935778267	-0.12679407	0.0022007779
water.pacific-west	DEFAULT	SERIF	0	12	C	214.23691860465115	37.560714285714276	-0.12679407	0.0022007779
water.pacific-west	DEFAULT	SERIF	1	0	O	173.53197674418604	27.64566929133858	0.039641082	0.002426054
water.pacific-west	DEFAULT	SERIF	1	1	C	179.33367371451078	27.649221309542423	-0.19820467	0.002426054
water.pacific-west	DEFAULT	SERIF	1	2	E	185.06238627463213	27.62878275628119	-0.43604356	0.002426054
water.pacific-west	DEFAULT	SERIF	1	3	A	190.59002338398454	27.586714436731334	-0.43604356	0.002426054
water.pacific-west	DEFAULT	SERIF	1	4	N	196.29360465116278	27.519685039370085	-0.67386746	0.002426054
water.pacific-east	DEFAULT	SERIF	0	0	S	-159.63228090298125	-14.080194236453487	-0.12136758	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	1	O	-155.90679553997046	-14.088085809261337	-0.12136758	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	2	U	-151.88051230626246	-14.09661455228315	-0.12136758	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	3	T	-147.87947523245617	-14.109244663650443	-0.19412921	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	4	H	-143.94707890906284	-14.122568436582334	-0.19412921	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	5	\s	-139.87336864386492	-14.136371010403927	-0.19412921	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	6	P	-136.4153846920746	-14.148405769229818	-0.26700714	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	7	A	-132.60211535262482	-14.166176319243561	-0.26700714	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	8	C	-128.64753279470037	-14.18460541534865	-0.26700714	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	9	I	-124.67476463451382	-14.199954350581216	-0.33982575	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	10	F	-121.07550810752642	-14.221302072596949	-0.33982575	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	11	I	-117.30263936632359	-14.243679514297803	-0.33982575	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	12	C	-113.7033828393362	-14.265027236313536	-0.33982575	0.0027262494
water.pacific-east	DEFAULT	SERIF	1	0	O	-147.69477553749525	-25.286785087400936	-0.16302276	0.0022108392
