# Explicit build-time fallback layouts for catalogue labels absent from the Philip reference.
# Paths are canonical map coordinates. Each reason is review evidence, not runtime data.
labelKey	fontFace	text	capHeightMapUnits	trackingMapUnits	pathMapCoordinates	reason
water.atlantic	SERIF	ATLANTIC OCEAN	1.55	2.10	-58,8;-32,12;-6,8	NO_SINGLE_EQUIVALENT_REFERENCE_TITLE
water.north-atlantic	SERIF	NORTH	1.40	4.10	-55,45;-35,46;-15,45	REFERENCE_TRACE_AFTER_COMPONENT_REJECTION
water.north-atlantic	SERIF	ATLANTIC	1.45	4.00	-62,34;-36,35;-10,34	REFERENCE_TRACE_AFTER_COMPONENT_REJECTION
water.north-atlantic	SERIF	OCEAN	1.40	3.85	-52,23;-34,24;-15,24	REFERENCE_TRACE_AFTER_COMPONENT_REJECTION
water.mediterranean	SERIF	MEDITERRANEAN SEA	1.05	0.82	1,35;18,35.8;35,35.2	NO_EQUIVALENT_REFERENCE_TITLE
water.southern	SERIF	SOUTHERN OCEAN	1.75	2.35	-24,-57;20,-59;64,-57	NO_EQUIVALENT_REFERENCE_TITLE
water.baltic	SERIF	BALTIC SEA	0.72	0.42	10,56.5;19,58.5;28,57.7	NO_EQUIVALENT_REFERENCE_TITLE
water.norwegian	SERIF	NORWEGIAN SEA	0.82	0.54	-8,64;3,67.5;14,68	NO_EQUIVALENT_REFERENCE_TITLE
water.black	SERIF	BLACK SEA	0.55	0.48	28,44;34,44.6;41,43	REVIEW_REJECTED_GEOGRAPHICALLY_IMPOSSIBLE_COMPONENT_MATCH
water.caspian	SERIF	CASPIAN SEA	0.55	0.44	48,47;51,42;53,37	REVIEW_REJECTED_GEOGRAPHICALLY_IMPOSSIBLE_COMPONENT_MATCH
water.red	SERIF	RED SEA	0.46	0.30	33,29;38,20;42,13	REVIEW_REJECTED_GEOGRAPHICALLY_IMPOSSIBLE_COMPONENT_MATCH
water.arabian	SERIF	ARABIAN SEA	0.72	0.72	52,15;63,12;74,14	REVIEW_REJECTED_GEOGRAPHICALLY_IMPOSSIBLE_COMPONENT_MATCH
water.south-china	SERIF	CHINA	0.86	1.10	108,19;114,18;120,17	REVIEW_REJECTED_GEOGRAPHICALLY_IMPOSSIBLE_COMPONENT_MATCH
water.south-china	SERIF	SEA	0.68	0.82	111,12;116,11;121,10	REVIEW_REJECTED_GEOGRAPHICALLY_IMPOSSIBLE_COMPONENT_MATCH
water.gulf-of-guinea	SERIF	GULF OF GUINEA	0.58	0.48	-5,2;2,1;10,1	REVIEW_REJECTED_GEOGRAPHICALLY_IMPOSSIBLE_COMPONENT_MATCH
region.sahara	SERIF	SAHARA	1.20	4.00	-12,25;14,26;38,23	REVIEW_REJECTED_GEOGRAPHICALLY_IMPOSSIBLE_COMPONENT_MATCH
region.siberia	SERIF	SIBERIA	1.10	5.80	55,69;102,69;149,69	REFERENCE_OBSERVED_BASELINE_AFTER_COMPONENT_REJECTION
continent.north-america	SERIF	NORTH AMERICA	1.65	1.55	-139,48;-106,52;-73,48	NO_EQUIVALENT_REFERENCE_TITLE
continent.south-america	SERIF	SOUTH	1.35	3.30	-76,-8;-59,-8;-42,-8	REFERENCE_OBSERVED_BASELINE_AFTER_COMPONENT_REJECTION
continent.south-america	SERIF	AMERICA	1.20	3.10	-75,-19;-58,-19;-41,-19	REFERENCE_OBSERVED_BASELINE_AFTER_COMPONENT_REJECTION
continent.europe	SERIF	EUROPE	1.25	1.15	-12,51;19,55;46,52	REVIEW_REJECTED_UNCORROBORATED_COMPONENT_MATCH
continent.africa	SERIF	AFRICA	1.35	1.20	-16,4;18,8;46,3	REVIEW_REJECTED_UNCORROBORATED_COMPONENT_MATCH
continent.asia	SERIF	ASIA	1.55	1.45	48,44;94,50;137,43	REVIEW_REJECTED_UNCORROBORATED_COMPONENT_MATCH
continent.australia	SERIF	AUSTRALIA	1.10	2.40	114,-26;133,-25;152,-27	REVIEW_REJECTED_UNDER_SCALED_COMPONENT_MATCH
political.russian-empire	SERIF	RUSSIAN EMPIRE	1.00	8.20	30,58;92,58;154,58	REFERENCE_OBSERVED_BASELINE_AFTER_COMPONENT_REJECTION
political.qing-empire	SERIF	CHINESE	0.92	3.90	78,40;99,40;120,40	REFERENCE_OBSERVED_BASELINE_AFTER_COMPONENT_REJECTION
political.qing-empire	SERIF	EMPIRE	0.88	3.70	87,35;104,35;121,35	REFERENCE_OBSERVED_BASELINE_AFTER_COMPONENT_REJECTION
political.united-states	SERIF	UNITED STATES	1.55	3.30	-126,39;-101,38;-76,37	REFERENCE_OBSERVED_BASELINE_AFTER_COMPONENT_REJECTION
political.spanish-empire	SERIF	SPAIN	0.66	0.85	-7,40;-3,40;1,40	REFERENCE_OBSERVED_BASELINE_AFTER_COMPONENT_REJECTION
political.japanese-empire	SERIF	JAPAN	0.74	0.92	130,34;137,38;144,42	REFERENCE_OBSERVED_BASELINE_AFTER_COMPONENT_REJECTION
