# Initial direct observations on the supplied Philip scan. imagePath points are scan pixels and use
# an unwrapped horizontal coordinate when a baseline crosses the Greenwich seam.
# The review sheet is the acceptance source for replacing any path that does not match the scan.
labelKey	typographyRole	capHeightPixels	trackingPixels	imagePath
water.north-atlantic	WATER	62.4	87.1	7055.4,2227.4;7559.9,2197.7
water.north-atlantic	WATER	58.4	80.3	6986.6,2370.1;7743.3,2342.3
water.north-atlantic	WATER	55.3	80.3	7215.9,2504.7;7674.5,2478.3
water.south-atlantic	WATER	50.4	78.0	7445.2,3792.4;7903.8,3767.2
water.south-atlantic	WATER	52.7	78.0	7307.6,3921.7;8064.3,3895.3
water.south-atlantic	WATER	55.6	78.0	7559.9,4057.7;8110.2,4029.9
water.pacific-west	WATER	52.1	94.0	3340.8,3039.1;4074.5,2992.8
water.pacific-east	WATER	52.2	94.0	5014.6,3407.2;5748.4,3384.0
water.mediterranean	SEA	32.4	26.4	359.9,2342.3;1093.6,2314.1
water.bay-of-bengal	SEA	18.5	22.9	2125.5,2875.7;2561.1,2852.1
water.japan	SEA	24.9	22.9	3249.0,2227.4;3638.8,2105.8
islands.east-indies	LAND	21.6	35.5	2744.6,3245.9;2996.8,3291.8;3249.0,3268.8
islands.new-zealand	LAND	22.3	8.3	4097.4,4172.6;4258.0,4294.2;4372.6,4357.9
political.british-empire	PRIMARY_GROUP	53.3	27.5	8247.8,1723.1;8775.2,1683.6
political.russian-empire	PRIMARY_GROUP	61.4	39.0	1185.3,1558.9;2240.1,1469.8
place.paris	CAPITAL	21.7	3.7	8545.9,1907.5;8683.5,1907.5
place.constantinople	CAPITAL	16.1	15.6	841.4,2167.5;1116.5,2167.5
