countryCode	regionId	displayName	sourceAdmin1Codes
AFG	afg-west	Western Afghanistan	AFG-1746,AFG-1745,AFG-1741,AFG-1742,AFG-1751,AFG-1749,AFG-1754,AFG-1750,AFG-1747
AFG	afg-east	Eastern Afghanistan	AFG-1760,AFG-1765,AFG-1763,AFG-1744,AFG-1762,AFG-1761,AFG-1764,AFG-1758,AFG-3413,AFG-1759,AFG-1755,AFG-1752,AFG-1757,AFG-1769,AFG-1767,AFG-1770,AFG-1771,AFG-1768,AFG-1774,AFG-1743,AFG-1772,AFG-1748,AFG-1766,AFG-1773,AFG-1753
AGO	ago-north	Northern Angola	AGO-1885,AGO-1882,AGO-1881,AGO-1874,AGO-1876,AGO-1875,AGO-1879,AGO-1877,AGO-1880,AGO-1878
AGO	ago-south	Southern Angola	AGO-1888,AGO-1892,AGO-1893,AGO-1889,AGO-1887,AGO-1886,AGO-1891,AGO-1890
ARG	arg-north	Northern Argentina	ARG-1303,ARG-1301,ARG-1307,ARG-1306,ARG-1300,ARG-1302,ARG-1305,ARG-1304
ARG	arg-pampas	Pampas and Buenos Aires	ARG-1309,ARG-1312,ARG-1308,ARG-1273,ARG-1275,ARG-1295,ARG-5493,ARG-1310,ARG-1298,ARG-1296,ARG-1299
ARG	arg-patagonia	Patagonia	ARG-1276,ARG-1274,ARG-1297,ARG-1271,ARG-1272
AUS	aus-west-central	Western and Central Australia	AUS-2651,AUS-2650,AUS-2655
AUS	aus-queensland	Queensland	AUS-2657
AUS	aus-southeast	Southeastern Australia	AUS-2654,AUS-1932,AUS-2656,AUS-2660,AUS+00?,AUS-2659,AUS-2653
BRA	bra-amazon	Amazonia	BRA-670,BRA-594,BRA-576,BRA-681,BRA-592,BRA-595
BRA	bra-northeast	Northeastern Brazil	BRA-593,BRA-622,BRA-621,BRA-628,BRA-626,BRA-1313,BRA-623,BRA-629,BRA-624
BRA	bra-central-southeast	Central and Southeastern Brazil	BRA-600,BRA-602,BRA-1294,BRA-599,BRA-596,BRA-625,BRA-627,BRA-1311,BRA-601
BRA	bra-south	Southern Brazil	BRA-612,BRA-613,BRA-614
CAN	can-atlantic	Atlantic Canada	CAN-684,CAN-686,CAN-685,CAN-687
CAN	can-central	Central Canada	CAN-683,CAN-682
CAN	can-prairies-north	Prairies and Northern Canada	CAN-632,CAN-631,CAN-630,CAN-634,CAN-635
CAN	can-pacific	Pacific Canada	CAN-633,CAN-636
CHL	chl-north	Northern Chile	CHL-2694,CHL-2693,CHL-2695,CHL-2696
CHL	chl-central-south	Central and Southern Chile	CHL-2697,CHL-2698,CHL-2699,CHL-2705,CHL-2703,CHL-20010,CHL-2700,CHL-2702,CHL-2701,CHL-2704,CHL-2691,CHL-2692
CHN	chn-manchuria	Manchuria	CHN-1839,CHN-1828,CHN-1813
CHN	chn-north	Northern China	CHN-1838,CHN-1814,CHN-1811,CHN-1816,CHN-1155,CHN-1805
CHN	chn-east-central	Eastern and Central China	CHN-1178,CHN-1820,CHN-1819,CHN-1818,CHN-1817,CHN-1179,CHN-1154,CHN-1808,CHN-1804,CHN-1812,CHN-1807
CHN	chn-south-coast	Southern China	CHN-1152,CHN-1180,CHN-1775,PFA+00?
CHN	chn-southwest	Southwestern China	CHN-1810,CHN-1809,CHN-1153
CHN	chn-northwest	Northwestern China and Xinjiang	CHN-1150,CHN-1803,CHN-1151,CHN-1756
CHN	chn-tibet	Tibet	CHN-1662
COD	cod-west-basin	Western Congo and Congo Basin	COD-1871,COD-1884,COD-1883,COD-1461,COD-1559,COD-1872,COD-1896
COD	cod-east	Eastern Congo	COD-1894,COD-1898,COD-1895
COD	cod-katanga	Katanga	COD-1897
COL	col-west	Western and Caribbean Colombia	COL-1318,COL-1414,COL-1421,COL-1316,COL-1417,COL-1413,COL-1412,COL-1416,COL-1342,COL-1406,COL-1407,COL-1415,COL-1420,COL-1315,COL-1404,COL-1408,COL-1314,COL+99?,COL-1405,COL-1397,COL-1422,COL-1425,COL-1399,COL-1317,COL-1402,COL-1400,COL-1398,COL-1401
COL	col-east-south	Eastern and Southern Colombia	COL-1424,COL-1426,COL-1283,COL-1427,COL-1403,COL-1423
DEU	deu-northeast	Northeastern Germany	DEU-1579,DEU-3487,DEU-3488,DEU-1578,DEU-1599
DEU	deu-west	Western Germany	DEU-1580,DEU-1576,DEU-1572,DEU-1575
DEU	deu-central	Central Germany	DEU-1601,DEU-1574,DEU-1577,DEU-1600
DEU	deu-south	Southern Germany	DEU-1591,DEU-1581,DEU-1573
DZA	dza-north	Northern Algeria	DZA-2148,DZA-2149,DZA-2147,DZA-2200,DZA-2202,DZA-2145,DZA-2144,DZA-2206,DZA-2203,DZA-2190,DZA-2204,DZA-2146,DZA-2201,DZA-2205,DZA-2164,DZA-2191,DZA-2223,DZA-2222,DZA-2194,DZA-2163,DZA-2166,DZA-2165,DZA-2208,DZA-2197,DZA-2196,DZA-2195,DZA-2198,DZA-2215,DZA-2207,DZA-2210,DZA-2209,DZA-2199,DZA-2192,DZA-2193,DZA-2213,DZA-2214,DZA-2216,DZA-2219,DZA-2218,DZA-2217,DZA-2220,DZA-2221,DZA-2211,DZA-2212
DZA	dza-sahara	Algerian Sahara	DZA-2143,DZA-2189,DZA-2150,DZA-2188
EGY	egy-delta	Nile Delta	EGY-1540,EGY-1538,EGY-1537,EGY-1535,EGY-1539,EGY-1547,EGY-1541,EGY-1543,EGY-1533,EGY-1544,EGY-1542,EGY-1546,EGY-1532,EGY-1534,EGY-1530
EGY	egy-upper-west	Upper and Western Egypt	EGY-1548,EGY-1556,EGY-1545,EGY-1552,EGY-1551,EGY-1549,EGY-5494,EGY-1550
EGY	egy-sinai	Sinai and Suez	EGY-1558,EGY-1536,EGY-1557,EGY-1531
ESP	esp-north	Northern Spain	ESP-5837,ESP-5823,ESP-5825,ESP-5831,ESP-5838,ESP-5841,ESP-5852,ESP-5840,ESP-5827,ESP-5832,ESP-5805,ESP-5813,ESP-5851,ESP-5853,ESP-5828,ESP-5801,ESP-5830,ESP-5845,ESP-5810,ESP-5839,ESP-5822,ESP-5833,ESP-5843,ESP-5850
ESP	esp-centre-west	Central and Western Spain	ESP-5815,ESP-5807,ESP-5812,ESP-5811,ESP-5824,ESP-5834,ESP-5844,ESP-5848,ESP-5806,ESP-5816,ESP-5817,ESP-5826
ESP	esp-south-east	Southern and Eastern Spain	ESP-5835,ESP-5820,ESP-5809,ESP-5846,ESP-5814,ESP-5849,ESP-5803,ESP-5836,ESP-5804,ESP-5821,ESP-5808,ESP-5802,ESP-5847,ESP-5818
ESP	esp-canaries	Canary Islands	ESP-5842,ESP-5829
ETH	eth-north-central	Northern and Central Ethiopia	ETH-3111,ETH-3109,ETH-3110,ETH-3129,ETH-3132,ETH-3130,ETH-3131,ETH-3135,ETH-3133,ETH-3136
ETH	eth-south-east	Southern and Eastern Ethiopia	ETH-3134
FRA	fra-north	Northern France	FRA-5330,FRA-5268,FRA-5263,FRA-5275,FRA-5290,FRA-5343,FRA-5345,FRA-5334,FRA-5314,FRA-5323,FRA-5317,FRA-5270,FRA-5333,FRA-5306,FRA-5344,FRA-5349,FRA-5357,FRA-5279,FRA-5291,FRA-5331,FRA-5332,FRA-5356,FRA-5289,FRA-5342,FRA-5350
FRA	fra-west	Western France	FRA-5295,FRA-5278,FRA-5353,FRA-5316,FRA-5327,FRA-5292,FRA-5283,FRA-5308,FRA-5322,FRA-5303,FRA-5310,FRA-5309,FRA-5324,FRA-5340,FRA-5321,FRA-5277,FRA-5285,FRA-5354
FRA	fra-east	Eastern France	FRA-5326,FRA-5325,FRA-5304,FRA-5341,FRA-5302,FRA-5348,FRA-5287,FRA-5262,FRA-5312,FRA-5311,FRA-5300,FRA-5338,FRA-5355,FRA-5315,FRA-5264,FRA-5329,FRA-5282,FRA-5301,FRA-5339
FRA	fra-alsace-lorraine	Alsace-Lorraine	FRA-5328,FRA-5273,FRA-5296
